Draw ID,N1,N2,N3,N4,N5,N6,Sum,N1_color,N2_color,N3_color,N4_color,N5_color,N6_color
4975603,24,23,48,40,10,42.0,187.0,Green,Blue,Green,Red,Red,Green
4975602,16,19,32,3,1,18.0,89.0,Red,Red,Blue,Green,Red,Green
4975601,31,21,25,12,46,1.0,136.0,Red,Green,Red,Green,Red,Red
4975600,33,22,49,3,48,41.0,196.0,Green,Red,Yellow,Green,Green,Blue
4975599,24,42,26,20,38,34.0,184.0,Green,Green,Blue,Blue,Blue,Red
4975598,18,37,46,23,44,49.0,217.0,Green,Red,Red,Blue,Blue,Yellow
4975597,2,41,32,4,21,7.0,107.0,Blue,Blue,Blue,Red,Green,Red
4975596,8,3,20,36,6,28.0,101.0,Blue,Green,Blue,Green,Green,Red
4975595,10,28,44,36,41,19.0,178.0,Red,Red,Blue,Green,Blue,Red
4975594,16,33,42,39,20,13.0,163.0,Red,Green,Green,Green,Blue,Red
4975593,8,40,29,10,48,38.0,173.0,Blue,Red,Blue,Red,Green,Blue
4975592,4,24,6,2,33,8.0,77.0,Red,Green,Green,Blue,Green,Blue
4975591,10,20,36,23,38,49.0,176.0,Red,Blue,Green,Blue,Blue,Yellow
4975590,14,36,6,43,34,47.0,180.0,Blue,Green,Green,Red,Red,Blue
4975589,30,25,40,18,14,22.0,149.0,Green,Red,Red,Green,Blue,Red
4975588,31,49,27,25,17,26.0,175.0,Red,Yellow,Green,Red,Blue,Blue
4975587,39,37,6,2,31,48.0,163.0,Green,Red,Green,Blue,Red,Green
4975586,7,5,10,8,33,46.0,109.0,Red,Blue,Red,Blue,Green,Red
4975585,28,10,37,47,30,34.0,186.0,Red,Red,Red,Blue,Green,Red
4975584,31,42,1,13,19,39.0,145.0,Red,Green,Red,Red,Red,Green
4975583,43,12,4,38,22,40.0,159.0,Red,Green,Red,Blue,Red,Red
4975582,5,33,11,25,14,36.0,124.0,Blue,Green,Blue,Red,Blue,Green
4975581,11,18,10,48,8,6.0,101.0,Blue,Green,Red,Green,Blue,Green
4975580,45,37,22,26,46,9.0,185.0,Green,Red,Red,Blue,Red,Green
4975579,2,5,34,8,17,37.0,103.0,Blue,Blue,Red,Blue,Blue,Red
4975578,37,14,35,10,43,48.0,187.0,Red,Blue,Blue,Red,Red,Green
4975577,2,31,32,21,16,7.0,109.0,Blue,Red,Blue,Green,Red,Red
4975576,4,1,47,8,49,41.0,150.0,Red,Red,Blue,Blue,Yellow,Blue
4975575,30,5,36,18,34,12.0,135.0,Green,Blue,Green,Green,Red,Green
4975574,19,24,16,32,1,13.0,105.0,Red,Green,Red,Blue,Red,Red
4975573,9,44,4,23,28,49.0,157.0,Green,Blue,Red,Blue,Red,Yellow
4975572,19,34,37,27,38,29.0,184.0,Red,Red,Red,Green,Blue,Blue
4975571,45,42,2,31,20,24.0,164.0,Green,Green,Blue,Red,Blue,Green
4975570,3,2,12,8,19,7.0,51.0,Green,Blue,Green,Blue,Red,Red
4975569,23,27,31,34,29,22.0,166.0,Blue,Green,Red,Red,Blue,Red
4975568,13,15,19,37,33,49.0,166.0,Red,Green,Red,Red,Green,Yellow
4975567,17,36,2,7,28,40.0,130.0,Blue,Green,Blue,Red,Red,Red
4975566,38,14,28,45,8,6.0,139.0,Blue,Blue,Red,Green,Blue,Green
4975565,14,46,28,44,2,25.0,159.0,Blue,Red,Red,Blue,Blue,Red
4975564,33,26,1,10,28,14.0,112.0,Green,Blue,Red,Red,Red,Blue
4975563,32,5,30,46,3,15.0,131.0,Blue,Blue,Green,Red,Green,Green
4975562,48,24,30,21,8,15.0,146.0,Green,Green,Green,Green,Blue,Green
4975561,27,19,2,29,23,13.0,113.0,Green,Red,Blue,Blue,Blue,Red
4975560,27,14,45,37,20,19.0,162.0,Green,Blue,Green,Red,Blue,Red
4975559,28,46,4,33,13,45.0,169.0,Red,Red,Red,Green,Red,Green
4975558,37,36,46,5,19,4.0,147.0,Red,Green,Red,Blue,Red,Red
4975557,22,9,17,34,13,16.0,111.0,Red,Green,Blue,Red,Red,Red
4975556,3,33,26,1,32,2.0,97.0,Green,Green,Blue,Red,Blue,Blue
4975555,14,8,7,10,22,13.0,74.0,Blue,Blue,Red,Red,Red,Red
4975554,10,42,16,45,40,39.0,192.0,Red,Green,Red,Green,Red,Green
4975553,6,42,29,22,39,24.0,162.0,Green,Green,Blue,Red,Green,Green
4975552,49,2,15,16,36,30.0,148.0,Yellow,Blue,Green,Red,Green,Green
4975551,34,38,31,48,20,32.0,203.0,Red,Blue,Red,Green,Blue,Blue
4975550,12,35,7,20,33,18.0,125.0,Green,Blue,Red,Blue,Green,Green
4975549,14,36,20,5,34,38.0,147.0,Blue,Green,Blue,Blue,Red,Blue
4975548,49,2,27,6,37,12.0,133.0,Yellow,Blue,Green,Green,Red,Green
4975547,34,47,2,43,20,19.0,165.0,Red,Blue,Blue,Red,Blue,Red
4975546,14,42,26,6,1,36.0,125.0,Blue,Green,Blue,Green,Red,Green
4975545,23,19,27,40,24,36.0,169.0,Blue,Red,Green,Red,Green,Green
4975544,43,41,26,39,47,40.0,236.0,Red,Blue,Blue,Green,Blue,Red
4975543,39,24,43,21,45,36.0,208.0,Green,Green,Red,Green,Green,Green
4975542,39,2,41,27,30,36.0,175.0,Green,Blue,Blue,Green,Green,Green
4975541,49,4,32,28,30,34.0,177.0,Yellow,Red,Blue,Red,Green,Red
4975540,21,15,27,1,40,26.0,130.0,Green,Green,Green,Red,Red,Blue
4975539,43,37,23,13,45,42.0,203.0,Red,Red,Blue,Red,Green,Green
4975538,12,16,13,30,29,47.0,147.0,Green,Red,Red,Green,Blue,Blue
4975537,26,28,7,42,36,44.0,183.0,Blue,Red,Red,Green,Green,Blue
4975536,22,45,26,7,24,15.0,139.0,Red,Green,Blue,Red,Green,Green
4975535,25,40,47,14,45,8.0,179.0,Red,Red,Blue,Blue,Green,Blue
4975534,48,13,23,6,16,8.0,114.0,Green,Red,Blue,Green,Red,Blue
4975533,4,9,32,34,25,16.0,120.0,Red,Green,Blue,Red,Red,Red
4975532,45,21,17,38,43,14.0,178.0,Green,Green,Blue,Blue,Red,Blue
4975531,21,40,49,41,44,9.0,204.0,Green,Red,Yellow,Blue,Blue,Green
4975530,8,2,34,1,26,32.0,103.0,Blue,Blue,Red,Red,Blue,Blue
4975529,25,28,7,39,24,41.0,164.0,Red,Red,Red,Green,Green,Blue
4975528,20,47,17,38,13,32.0,167.0,Blue,Blue,Blue,Blue,Red,Blue
4975527,33,20,9,17,29,28.0,136.0,Green,Blue,Green,Blue,Blue,Red
4975526,5,25,46,40,16,11.0,143.0,Blue,Red,Red,Red,Red,Blue
4975525,10,42,39,23,45,14.0,173.0,Red,Green,Green,Blue,Green,Blue
4975524,35,20,5,1,30,12.0,103.0,Blue,Blue,Blue,Red,Green,Green
4975523,39,19,2,47,26,35.0,168.0,Green,Red,Blue,Blue,Blue,Blue
4975522,14,21,10,11,16,20.0,92.0,Blue,Green,Red,Blue,Red,Blue
4975521,27,9,21,15,1,8.0,81.0,Green,Green,Green,Green,Red,Blue
4975520,3,10,23,37,41,45.0,159.0,Green,Red,Blue,Red,Blue,Green
4975519,41,27,29,16,5,2.0,120.0,Blue,Green,Blue,Red,Blue,Blue
4975518,32,24,31,17,12,38.0,154.0,Blue,Green,Red,Blue,Green,Blue
4975517,9,49,23,24,46,41.0,192.0,Green,Yellow,Blue,Green,Red,Blue
4975516,25,32,22,1,47,5.0,132.0,Red,Blue,Red,Red,Blue,Blue
4975515,46,48,45,27,37,29.0,232.0,Red,Green,Green,Green,Red,Blue
4975514,14,24,43,6,25,38.0,150.0,Blue,Green,Red,Green,Red,Blue
4975513,36,15,2,7,32,26.0,118.0,Green,Green,Blue,Red,Blue,Blue
4975512,3,11,9,34,46,44.0,147.0,Green,Blue,Green,Red,Red,Blue
4975511,37,38,18,45,47,44.0,229.0,Red,Blue,Green,Green,Blue,Blue
4975510,30,11,44,16,1,34.0,136.0,Green,Blue,Blue,Red,Red,Red
4975509,11,37,18,7,44,20.0,137.0,Blue,Red,Green,Red,Blue,Blue
4975508,49,11,38,9,19,31.0,157.0,Yellow,Blue,Blue,Green,Red,Red
4975507,29,18,31,28,47,40.0,193.0,Blue,Green,Red,Red,Blue,Red
4975506,34,45,1,2,38,39.0,159.0,Red,Green,Red,Blue,Blue,Green
4975505,43,18,6,25,35,15.0,142.0,Red,Green,Green,Red,Blue,Green
4975504,15,40,31,47,48,41.0,222.0,Green,Red,Red,Blue,Green,Blue
4975503,37,32,25,47,18,7.0,166.0,Red,Blue,Red,Blue,Green,Red
4975502,1,35,47,7,38,5.0,133.0,Red,Blue,Blue,Red,Blue,Blue
4975501,43,14,21,1,36,15.0,130.0,Red,Blue,Green,Red,Green,Green
4975500,6,30,37,4,36,18.0,131.0,Green,Green,Red,Red,Green,Green
4975499,33,9,26,7,11,2.0,88.0,Green,Green,Blue,Red,Blue,Blue
4975498,49,28,47,39,37,3.0,203.0,Yellow,Red,Blue,Green,Red,Green
4975497,42,2,15,13,14,5.0,91.0,Green,Blue,Green,Red,Blue,Blue
4975496,47,5,41,42,32,17.0,184.0,Blue,Blue,Blue,Green,Blue,Blue
4975495,45,2,4,39,16,18.0,124.0,Green,Blue,Red,Green,Red,Green
4975494,23,21,29,15,36,5.0,129.0,Blue,Green,Blue,Green,Green,Blue
4975493,13,42,33,39,32,46.0,205.0,Red,Green,Green,Green,Blue,Red
4975492,27,6,22,1,38,25.0,119.0,Green,Green,Red,Red,Blue,Red
4975491,46,27,38,45,35,1.0,192.0,Red,Green,Blue,Green,Blue,Red
4975490,19,12,41,15,45,18.0,150.0,Red,Green,Blue,Green,Green,Green
4975489,24,34,2,6,26,29.0,121.0,Green,Red,Blue,Green,Blue,Blue
4975488,24,21,39,46,15,31.0,176.0,Green,Green,Green,Red,Green,Red
4975487,46,45,47,20,18,21.0,197.0,Red,Green,Blue,Blue,Green,Green
4975486,42,35,2,45,26,4.0,154.0,Green,Blue,Blue,Green,Blue,Red
4975485,45,7,10,17,18,9.0,106.0,Green,Red,Red,Blue,Green,Green
4975484,8,47,19,42,49,2.0,167.0,Blue,Blue,Red,Green,Yellow,Blue
4975483,2,29,40,12,10,11.0,104.0,Blue,Blue,Red,Green,Red,Blue
4975482,47,1,10,17,3,37.0,115.0,Blue,Red,Red,Blue,Green,Red
4975481,19,33,11,42,2,27.0,134.0,Red,Green,Blue,Green,Blue,Green
4975480,30,10,12,39,16,38.0,145.0,Green,Red,Green,Green,Red,Blue
4975479,38,39,47,35,10,9.0,178.0,Blue,Green,Blue,Blue,Red,Green
4975478,40,47,21,49,26,1.0,184.0,Red,Blue,Green,Yellow,Blue,Red
4975477,35,16,8,3,24,1.0,87.0,Blue,Red,Blue,Green,Green,Red
4975476,43,10,6,26,24,29.0,138.0,Red,Red,Green,Blue,Green,Blue
4975475,31,11,44,23,43,2.0,154.0,Red,Blue,Blue,Blue,Red,Blue
4975474,18,47,17,19,40,44.0,185.0,Green,Blue,Blue,Red,Red,Blue
4975473,34,11,12,16,28,29.0,130.0,Red,Blue,Green,Red,Red,Blue
4975472,22,4,25,39,20,37.0,147.0,Red,Red,Red,Green,Blue,Red
4975471,5,22,31,49,12,34.0,153.0,Blue,Red,Red,Yellow,Green,Red
4975470,15,16,21,49,8,22.0,131.0,Green,Red,Green,Yellow,Blue,Red
4975469,38,49,1,33,7,43.0,171.0,Blue,Yellow,Red,Green,Red,Red
4975468,23,20,1,26,12,3.0,85.0,Blue,Blue,Red,Blue,Green,Green
4975467,8,19,5,41,3,12.0,88.0,Blue,Red,Blue,Blue,Green,Green
4975466,15,49,7,28,25,40.0,164.0,Green,Yellow,Red,Red,Red,Red
4975465,40,2,36,32,16,14.0,140.0,Red,Blue,Green,Blue,Red,Blue
4975464,43,14,5,31,45,48.0,186.0,Red,Blue,Blue,Red,Green,Green
4975463,46,6,38,31,9,17.0,147.0,Red,Green,Blue,Red,Green,Blue
4975462,19,4,46,33,21,40.0,163.0,Red,Red,Red,Green,Green,Red
4975461,47,9,26,10,40,16.0,148.0,Blue,Green,Blue,Red,Red,Red
4975460,32,21,41,23,4,22.0,143.0,Blue,Green,Blue,Blue,Red,Red
4975459,45,29,49,22,37,2.0,184.0,Green,Blue,Yellow,Red,Red,Blue
4975458,28,8,44,5,4,39.0,128.0,Red,Blue,Blue,Blue,Red,Green
4975457,1,46,22,25,23,24.0,141.0,Red,Red,Red,Red,Blue,Green
4975456,18,31,41,30,46,19.0,185.0,Green,Red,Blue,Green,Red,Red
4975455,33,32,45,25,19,38.0,192.0,Green,Blue,Green,Red,Red,Blue
4975454,16,20,1,7,5,12.0,61.0,Red,Blue,Red,Red,Blue,Green
4975453,41,48,9,43,30,45.0,216.0,Blue,Green,Green,Red,Green,Green
4975452,48,21,9,13,43,10.0,144.0,Green,Green,Green,Red,Red,Red
4975451,45,49,19,37,8,20.0,178.0,Green,Yellow,Red,Red,Blue,Blue
4975450,25,9,30,1,41,46.0,152.0,Red,Green,Green,Red,Blue,Red
4975449,3,39,12,17,37,34.0,142.0,Green,Green,Green,Blue,Red,Red
4975448,19,38,26,16,8,37.0,144.0,Red,Blue,Blue,Red,Blue,Red
4975447,43,32,9,20,5,19.0,128.0,Red,Blue,Green,Blue,Blue,Red
4975446,22,23,29,7,13,45.0,139.0,Red,Blue,Blue,Red,Red,Green
4975445,7,48,8,46,39,12.0,160.0,Red,Green,Blue,Red,Green,Green
4975444,15,21,22,16,6,44.0,124.0,Green,Green,Red,Red,Green,Blue
4975443,16,43,35,13,42,36.0,185.0,Red,Red,Blue,Red,Green,Green
4975442,13,44,49,29,2,28.0,165.0,Red,Blue,Yellow,Blue,Blue,Red
4975441,43,8,31,2,14,10.0,108.0,Red,Blue,Red,Blue,Blue,Red
4975440,31,26,17,22,41,2.0,139.0,Red,Blue,Blue,Red,Blue,Blue
4975439,36,2,28,19,7,29.0,121.0,Green,Blue,Red,Red,Red,Blue
4975438,31,18,43,21,10,27.0,150.0,Red,Green,Red,Green,Red,Green
4975437,15,28,37,29,49,6.0,164.0,Green,Red,Red,Blue,Yellow,Green
4975436,35,11,33,42,23,6.0,150.0,Blue,Blue,Green,Green,Blue,Green
4975435,16,15,11,27,3,38.0,110.0,Red,Green,Blue,Green,Green,Blue
4975434,9,1,10,13,4,31.0,68.0,Green,Red,Red,Red,Red,Red
4975433,32,39,22,48,34,33.0,208.0,Blue,Green,Red,Green,Red,Green
4975432,8,2,49,12,5,32.0,108.0,Blue,Blue,Yellow,Green,Blue,Blue
4975431,31,17,10,21,36,1.0,116.0,Red,Blue,Red,Green,Green,Red
4975430,7,28,31,22,43,35.0,166.0,Red,Red,Red,Red,Red,Blue
4975429,5,46,24,4,21,28.0,128.0,Blue,Red,Green,Red,Green,Red
4975428,2,39,19,13,40,7.0,120.0,Blue,Green,Red,Red,Red,Red
4975427,49,44,38,8,46,25.0,210.0,Yellow,Blue,Blue,Blue,Red,Red
4975426,31,42,21,25,40,36.0,195.0,Red,Green,Green,Red,Red,Green
4975425,49,47,27,42,35,32.0,232.0,Yellow,Blue,Green,Green,Blue,Blue
4975424,37,5,42,48,19,13.0,164.0,Red,Blue,Green,Green,Red,Red
4975423,33,47,39,28,43,27.0,217.0,Green,Blue,Green,Red,Red,Green
4975422,11,29,4,32,8,24.0,108.0,Blue,Blue,Red,Blue,Blue,Green
4975421,45,20,27,39,44,21.0,196.0,Green,Blue,Green,Green,Blue,Green
4975420,8,49,40,12,20,27.0,156.0,Blue,Yellow,Red,Green,Blue,Green
4975419,9,28,3,15,8,7.0,70.0,Green,Red,Green,Green,Blue,Red
4975418,16,29,46,41,17,37.0,186.0,Red,Blue,Red,Blue,Blue,Red
4975417,11,13,12,23,16,27.0,102.0,Blue,Red,Green,Blue,Red,Green
4975416,36,4,44,49,8,3.0,144.0,Green,Red,Blue,Yellow,Blue,Green
4975415,44,48,47,25,31,40.0,235.0,Blue,Green,Blue,Red,Red,Red
4975414,28,21,49,35,34,42.0,209.0,Red,Green,Yellow,Blue,Red,Green
4975413,17,7,20,40,19,10.0,113.0,Blue,Red,Blue,Red,Red,Red
4975412,41,47,36,20,26,11.0,181.0,Blue,Blue,Green,Blue,Blue,Blue
4975411,39,8,34,22,40,14.0,157.0,Green,Blue,Red,Red,Red,Blue
4975410,10,49,25,35,36,9.0,164.0,Red,Yellow,Red,Blue,Green,Green
4975409,18,5,30,13,34,20.0,120.0,Green,Blue,Green,Red,Red,Blue
4975408,34,46,42,9,15,45.0,191.0,Red,Red,Green,Green,Green,Green
4975407,25,40,49,44,3,45.0,206.0,Red,Red,Yellow,Blue,Green,Green
4975406,12,35,47,6,14,30.0,144.0,Green,Blue,Blue,Green,Blue,Green
4975405,46,7,11,48,36,25.0,173.0,Red,Red,Blue,Green,Green,Red
4975404,41,34,17,24,19,43.0,178.0,Blue,Red,Blue,Green,Red,Red
4975403,6,15,44,16,1,34.0,116.0,Green,Green,Blue,Red,Red,Red
4975402,46,21,11,23,13,34.0,148.0,Red,Green,Blue,Blue,Red,Red
4975401,33,10,34,27,1,12.0,117.0,Green,Red,Red,Green,Red,Green
4975400,7,34,19,38,37,4.0,139.0,Red,Red,Red,Blue,Red,Red
4975399,6,35,32,39,31,4.0,147.0,Green,Blue,Blue,Green,Red,Red
4975398,39,34,17,20,11,6.0,127.0,Green,Red,Blue,Blue,Blue,Green
4975397,41,42,13,46,31,34.0,207.0,Blue,Green,Red,Red,Red,Red
4975396,41,42,7,2,4,33.0,129.0,Blue,Green,Red,Blue,Red,Green
4975395,11,24,26,7,33,34.0,135.0,Blue,Green,Blue,Red,Green,Red
4975394,44,15,5,3,9,49.0,125.0,Blue,Green,Blue,Green,Green,Yellow
4975393,29,10,17,8,31,27.0,122.0,Blue,Red,Blue,Blue,Red,Green
4975392,31,21,38,32,26,11.0,159.0,Red,Green,Blue,Blue,Blue,Blue
4975391,14,13,4,2,46,11.0,90.0,Blue,Red,Red,Blue,Red,Blue
4975390,16,32,10,30,17,26.0,131.0,Red,Blue,Red,Green,Blue,Blue
4975389,19,31,45,46,44,39.0,224.0,Red,Red,Green,Red,Blue,Green
4975388,49,42,3,16,45,36.0,191.0,Yellow,Green,Green,Red,Green,Green
4975387,24,23,2,37,7,29.0,122.0,Green,Blue,Blue,Red,Red,Blue
4975386,32,29,23,22,21,19.0,146.0,Blue,Blue,Blue,Red,Green,Red
4975385,16,27,45,36,9,39.0,172.0,Red,Green,Green,Green,Green,Green
4975384,48,9,33,21,2,7.0,120.0,Green,Green,Green,Green,Blue,Red
4975383,5,2,7,23,35,34.0,106.0,Blue,Blue,Red,Blue,Blue,Red
4975382,38,39,45,28,24,37.0,211.0,Blue,Green,Green,Red,Green,Red
4975381,49,7,4,45,30,25.0,160.0,Yellow,Red,Red,Green,Green,Red
4975380,26,20,25,31,37,49.0,188.0,Blue,Blue,Red,Red,Red,Yellow
4975379,5,47,28,40,1,26.0,147.0,Blue,Blue,Red,Red,Red,Blue
4975378,47,37,16,39,29,8.0,176.0,Blue,Red,Red,Green,Blue,Blue
4975377,8,21,14,16,44,23.0,126.0,Blue,Green,Blue,Red,Blue,Blue
4975376,48,16,25,5,14,47.0,155.0,Green,Red,Red,Blue,Blue,Blue
4975375,9,20,43,4,37,38.0,151.0,Green,Blue,Red,Red,Red,Blue
4975374,20,15,11,4,46,32.0,128.0,Blue,Green,Blue,Red,Red,Blue
4975373,14,21,25,11,19,2.0,92.0,Blue,Green,Red,Blue,Red,Blue
4975372,28,21,24,42,5,9.0,129.0,Red,Green,Green,Green,Blue,Green
4975371,36,32,34,5,42,31.0,180.0,Green,Blue,Red,Blue,Green,Red
4975370,36,12,14,19,7,2.0,90.0,Green,Green,Blue,Red,Red,Blue
4975369,12,8,6,31,14,34.0,105.0,Green,Blue,Green,Red,Blue,Red
4975368,29,48,6,42,22,26.0,173.0,Blue,Green,Green,Green,Red,Blue
4975367,7,34,3,43,16,26.0,129.0,Red,Red,Green,Red,Red,Blue
4975366,26,49,10,14,8,34.0,141.0,Blue,Yellow,Red,Blue,Blue,Red
4975365,32,12,44,15,9,31.0,143.0,Blue,Green,Blue,Green,Green,Red
4975364,1,33,4,6,45,26.0,115.0,Red,Green,Red,Green,Green,Blue
4975363,4,41,31,34,48,35.0,193.0,Red,Blue,Red,Red,Green,Blue
4975362,24,5,27,8,23,39.0,126.0,Green,Blue,Green,Blue,Blue,Green
4975361,31,44,47,26,25,36.0,209.0,Red,Blue,Blue,Blue,Red,Green
4975360,35,20,29,46,10,15.0,155.0,Blue,Blue,Blue,Red,Red,Green
4975359,10,15,8,40,39,14.0,126.0,Red,Green,Blue,Red,Green,Blue
4975358,13,26,19,40,2,12.0,112.0,Red,Blue,Red,Red,Blue,Green
4975357,32,24,5,3,27,34.0,125.0,Blue,Green,Blue,Green,Green,Red
4975356,32,31,40,7,20,13.0,143.0,Blue,Red,Red,Red,Blue,Red
4975355,20,21,36,48,18,6.0,149.0,Blue,Green,Green,Green,Green,Green
4975354,23,35,14,43,46,36.0,197.0,Blue,Blue,Blue,Red,Red,Green
4975353,12,10,9,28,37,2.0,98.0,Green,Red,Green,Red,Red,Blue
4975352,36,16,3,23,40,20.0,138.0,Green,Red,Green,Blue,Red,Blue
4975351,34,35,43,30,38,5.0,185.0,Red,Blue,Red,Green,Blue,Blue
4975350,24,29,18,6,2,14.0,93.0,Green,Blue,Green,Green,Blue,Blue
4975349,7,28,44,33,16,30.0,158.0,Red,Red,Blue,Green,Red,Green
4975348,40,45,49,46,18,39.0,237.0,Red,Green,Yellow,Red,Green,Green
4975347,36,41,45,23,47,9.0,201.0,Green,Blue,Green,Blue,Blue,Green
4975346,30,35,24,44,47,14.0,194.0,Green,Blue,Green,Blue,Blue,Blue
4975345,2,21,4,13,19,41.0,100.0,Blue,Green,Red,Red,Red,Blue
4975344,8,34,37,14,40,38.0,171.0,Blue,Red,Red,Blue,Red,Blue
4975343,32,1,8,24,7,28.0,100.0,Blue,Red,Blue,Green,Red,Red
4975342,27,17,23,38,21,10.0,136.0,Green,Blue,Blue,Blue,Green,Red
4975341,35,28,13,39,42,38.0,195.0,Blue,Red,Red,Green,Green,Blue
4975340,12,46,24,44,48,40.0,214.0,Green,Red,Green,Blue,Green,Red
4975339,10,21,34,4,35,31.0,135.0,Red,Green,Red,Red,Blue,Red
4975338,42,7,30,23,26,24.0,152.0,Green,Red,Green,Blue,Blue,Green
4975337,23,40,17,19,13,18.0,130.0,Blue,Red,Blue,Red,Red,Green
4975336,36,18,29,44,24,41.0,192.0,Green,Green,Blue,Blue,Green,Blue
4975335,32,2,3,42,36,22.0,137.0,Blue,Blue,Green,Green,Green,Red
4975334,28,46,33,19,40,44.0,210.0,Red,Red,Green,Red,Red,Blue
4975333,33,12,17,25,40,49.0,176.0,Green,Green,Blue,Red,Red,Yellow
4975332,3,23,28,38,43,15.0,150.0,Green,Blue,Red,Blue,Red,Green
4975331,36,41,27,4,14,17.0,139.0,Green,Blue,Green,Red,Blue,Blue
4975330,12,19,10,41,32,22.0,136.0,Green,Red,Red,Blue,Blue,Red
4975329,43,1,42,34,44,16.0,180.0,Red,Red,Green,Red,Blue,Red
4975328,25,48,37,40,47,33.0,230.0,Red,Green,Red,Red,Blue,Green
4975327,3,30,45,21,47,11.0,157.0,Green,Green,Green,Green,Blue,Blue
4975326,5,24,32,40,27,4.0,132.0,Blue,Green,Blue,Red,Green,Red
4975325,21,35,6,29,22,30.0,143.0,Green,Blue,Green,Blue,Red,Green
4975324,13,43,16,38,22,7.0,139.0,Red,Red,Red,Blue,Red,Red
4975323,7,6,20,18,28,30.0,109.0,Red,Green,Blue,Green,Red,Green
4975322,2,28,46,6,41,18.0,141.0,Blue,Red,Red,Green,Blue,Green
4975321,48,32,47,29,20,5.0,181.0,Green,Blue,Blue,Blue,Blue,Blue
4975320,36,23,12,30,47,1.0,149.0,Green,Blue,Green,Green,Blue,Red
4975319,49,24,43,44,29,21.0,210.0,Yellow,Green,Red,Blue,Blue,Green
4975318,49,9,7,28,12,20.0,125.0,Yellow,Green,Red,Red,Green,Blue
4975317,49,24,13,2,17,10.0,115.0,Yellow,Green,Red,Blue,Blue,Red
4975316,27,3,19,34,10,14.0,107.0,Green,Green,Red,Red,Red,Blue
4975315,26,34,30,10,2,3.0,105.0,Blue,Red,Green,Red,Blue,Green
4975314,11,5,10,32,35,7.0,100.0,Blue,Blue,Red,Blue,Blue,Red
4975313,4,33,8,36,31,47.0,159.0,Red,Green,Blue,Green,Red,Blue
